@relation winequality-red-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S522042837-V-N4-F1

@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {3,4,5,6,7,8}

@data
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6
7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6
7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6
8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6
12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,6
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4
7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4
8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,4
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7
8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,7
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7
8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,7
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,7
8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,7
9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,7
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9,7
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7
7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,7
7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7
9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7
9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,7
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,8
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3
