@relation winequality-red-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S908985959-V-N4-F1

@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {3,4,5,6,7,8}

@data
6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6
8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6
8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,6
7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,6
8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6
10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4
8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,4
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4
7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,4
9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,7
9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,7
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,7
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7
9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7
8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7
9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,7
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,7
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7
9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7
7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,7
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8
