@relation winequality-red-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S484329355-V-N4-F1

@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {3,4,5,6,7,8}

@data
8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,6
8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6
7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,7
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7
9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7
9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7
11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,7
10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,7
7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,7
9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7
9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,7
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7
6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,7
7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,7
8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7
8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7
7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,7
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,7
5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7
8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7
6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,7
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7
10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3
7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8
